".scenario.id",".at","mh.scrninterv.start","mh.txinterv.start","mdd.diag.gen.prob_1","mdd.diag.gen.prob_2","mddscrnuptk.pstat.prob","mddscrnuptk.pind.prob","mdd.txinit.prob.reg_1","mdd.txinit.prob.reg_2","mdd.txinit.prob.reg_3","mdd.txinit.prob.prep_1","mdd.txinit.prob.prep_2","mdd.txinit.prob.prep_3","prep.start.prob_1","prep.start.prob_2","prep.start.prob_3","tx.init.rate_1","tx.init.rate_2","tx.init.rate_3","tx.reinit.partial.rate_1","tx.reinit.partial.rate_2","tx.reinit.partial.rate_3"
"a053_0.5_0.214_base",3901,Inf,Inf,0.5,0.5,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a054_0.571_0.214_base",3901,Inf,Inf,0.571,0.571,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a055_0.643_0.214_base",3901,Inf,Inf,0.643,0.643,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a056_0.714_0.214_base",3901,Inf,Inf,0.714,0.714,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a057_0.786_0.214_base",3901,Inf,Inf,0.786,0.786,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a058_0.857_0.214_base",3901,Inf,Inf,0.857,0.857,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a059_0.929_0.214_base",3901,Inf,Inf,0.929,0.929,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a060_1_0.214_base",3901,Inf,Inf,1,1,0,0,0.214,0.214,0.214,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a061_0_0.286_base",3901,Inf,Inf,0,0,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a062_0.071_0.286_base",3901,Inf,Inf,0.071,0.071,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a063_0.143_0.286_base",3901,Inf,Inf,0.143,0.143,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a064_0.214_0.286_base",3901,Inf,Inf,0.214,0.214,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a065_0.286_0.286_base",3901,Inf,Inf,0.286,0.286,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a066_0.357_0.286_base",3901,Inf,Inf,0.357,0.357,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a067_0.429_0.286_base",3901,Inf,Inf,0.429,0.429,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a068_0.5_0.286_base",3901,Inf,Inf,0.5,0.5,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a069_0.571_0.286_base",3901,Inf,Inf,0.571,0.571,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a070_0.643_0.286_base",3901,Inf,Inf,0.643,0.643,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"a071_0.714_0.286_base",3901,Inf,Inf,0.714,0.714,0,0,0.286,0.286,0.286,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
